id,words
5,manfaat berkat jkn kis serta bpjs sehat lancar jalan cuci darah
7,jkn kis harisomawati salah serta bpjs sehat lancar jalan cuci darah
10,syukur masyarakat bantu banget jkn kis serta bpjs sehat lancar jalan cuci darah
31,bpjs sehat layan baik pandemi covid
32,bpjs sehat cuci darah mudah
45,jelas iur bpjs kontak mudah paham enak banget
222,bpjs program gotong royong serta maaf gratis alias bayar perintah kis serta bayar anggap kelas tinggal pilih sesuai mampu sehat mahal
225,gotong royong harap jaga kualitas sinambung program jamin sehat masyarakat bpjs jalan lanjut
234,alhamdulillah bpjs sehat asuransi layan baik keluarga
245,bantu manfaat sehat bpjs iur bpjs asuransi sisih antisipasi risiko
251,sadar prinsip bpjs sehat gotong royong tolong salah bentuk sumbangsih negeri tolong butuh bantu dana awat sehat syukur pakai sakit
275,bpjs sehat utama baik salah prinsip gotong royong
287,support bpjs sehat layan puas masyarakat gotong royong tolong
302,jamin sehat banget emang bom sakit sih ngga asa manfaat sakit asa banget loh sakit suruh bayar sekian puluh juta sakit banget bpjs
303,bpjs sehat masyarakat nikmat lindung jamin sehat biaya jangkau prinsip bpjs gotong royong tolong
319,sesuai besar iur bpjs sehat langsung layan sehat rakyat bayang pagebluk masyarakat paham jaga negara
331,naik iur langsung bpjs sehat masyarakat manfaat
337,gotong royong tolong cinta bpjs sehat
610,peran bpjs sehat rasa atur pres 2020 tetap iur bpjs dukung patuh atur
611,gin jelas serta kelas pbpu bp bayar iur bpjs puluh ribu orang alias kelas bpjs sehat
613,dukung bpjs sehat pandemi longgar status serta aktif pandemi tunggak bayar enam sisa uang beli takjil mending bayar iur bpjs biar engga berat
634,naik iur bpjs jamin stabilitas uang jaga lanjut bpjs
668,ppp rakyat peluang menang gugat naik bpjs sehat
673,bpjs sehat bebas denda tunggak iur
676,bpjs butuh gotong royong tahan eksistensi layan sehat masyarakat naik iur serta kelas efektif subsidi iur berat pindah kelas
681,serta bpjs sehat kelas iii subsidi perintah
