,words,cluster
0,bayar bpjs sanggup percaya uang gaib triliun pulih ekonomi rang pandemi covid,2
1,didik gratis sehat gratis bpjs iur nunggak listrik subsidi,2
2,iya wajib bayar layan sehat bpjs sehat usaha wajib aneh,2
3,layan sehat bpjs,7
4,beda iur bpjs sehat naek,2
5,bpjs salah kelola direksi tahan,2
6,kalimat kau bilang merdeka bukti nama merdeka rakyat bpjs sehat iur,2
7,sulit rujuk rumah sakit sesuai arah dokter faskes tingkat ajar bpjs,2
8,heran bpjs bayar tenaga sehat,2
9,jamin paksa asuransi sehat tambah paksa bpjs,6
10,miris sehat jadi bisnis rakyat palak penting kapitalis,2
11,jamsostek ketenagakerjaan bpjs sehat adalagi bp tapera dapat bayar iur mulu,2
12,jokowi beban rakyat miskin covid turun bbm naik bpjs sehat cebong sakit biaya,2
13,bpjs telat bayar apd bayar nama doang tri sehat dalem sakit,2
14,anak udh santai kis suami perlu lahir anak ngurus ribet,2
15,kurir salah usaha logistik bumn kasihan masyarakat bayar iur,2
16,tanggung bpjs sehat berat,2
17,ngurus gatau serta bpjs sehat wajib autodebit ngelampirin atm buku rekening susah,2
18,sehat jamin penuh negara rakyat bayar premi bpjs layan sehat,2
19,drama bpjs sehat ngga selesai selesai,2
20,bpjs sehat iur turun,2
21,obat pake rujuk sakit faskes 1,2
22,sumpal kapital gitu tanggung jawab negara sehat rakyat jurus palak ala bpjs naik gitu jaga satu,2
23,hasil segitu usaha beban rakyat ketulungan pandemi iur naik,2
24,cek iur bpjs sehat apk mei bayar april gilir bayar,6
25,tolak lupa delapan mantan menteri sehat siti fadilah supari bahaya bpjs vaksin,2
26,negara biaya makan napi lepas jamin sehat iur bpjs naik,2
27,desa kota puskesmas klinik fasilitas sehat mumpuni rsud,6
28,nyuruh adek kuliah sehat bayang kerja hidup sejahtera denger cerita temen profesi sehat susah,2
29,kalau balik gimana rakyat lelah biaya negara pph ppn pbb lstrik mahal,2
30,taik bpjs kelas lapang alas rs ngasih kelas ujung ujung masuk kelas titid,2
31,gausa tinggi lu bahas bbm bpjs pln bahas layan bpjs ngaco,2
32,rakyat biaya negara bayar pajak iur bpjs harga harga negara biaya rakyat,2
33,bayar iur darimana jiwasraya asabri ngutang pertamina bpjs listrik,2
34,naikin bpjs mending jokowi bubarin bpip ksp stafsus presiden amp wapres guna hemat triliun,2
35,biaya perintah makan nyari bayar pajak bayar bpjs,2
36,kasi negara ngemis rakyat melangar psbb dapetnya cuman m boro boro biaya rakyat,2
37,rakyat rakyat hidup biaya perintah naikin bpjs listrik,2
38,negara biaya rakyat bbm turun turun bpjs sehat gratis dinaikin,2
39,bbm turun dunia turun rakyat biaya perintah naik iur bpjs,2
40,wifi bpjs rumah bayar iur bpjs,2
41,waras bpjs gitu sehat tapera gitu properti didik pangan nih duit perintah,1
42,sda limpah selenggara sehat gratis alih alih gratis rakyat rasa naik iur,2
43,perintah menomorsatukan sehat lantas bijak naik bpjs sehat kena,2
44,gaji potong bpjs sehat pilih manfaat,6
45,ngomong utama sehat lapang iur bpjs naik obat mahal beli,6
46,rumah ngapain gaji potong tapera potong pph ps bpjs ketenagakerjaan bpjs sehat,2
47,bpjs sehat jalan penuh carut marut muncul tapera juntrung wajib,2
48,biar sadar nuntut layan bpjs nomor dua lupa bayar kaga sehat,2
49,potong gaji kerja tambah bpjs sehat bp jamsostek iur tabung berat,2
50,maksud gimana pajak kantor paksa pakai bpjs motong uang rasa manfaat,2
51,rakyat susah potong pph bpjs tk sehat pensiun tega sih bikin potong,1
52,sih dah potong bpjs ketenagakerjaan sehat,2
53,calo legislatif manajemen bpjs sehat baik,1
54,bpjs sehat make sense sehat butuh manusia terus iur berat,2
55,kasih opini bpjs tau morat marit rada arah bangkrut rumah sakit bayar,2
56,potong bpjs ketenagakerjaan bpjs sehat detail fungsi,2
57,persis kayak bpjs sehat asal askesnya pns inti sih bijak salah,2
58,bpjs sehat oke cover sakit pake bpjs tk oke pensiun bp tapera,1
59,ngomong utama sehat lapang iur bpjs naik obat mahal beli nama peras,2
60,rezim bijak pakai nurani rakyat susah keppres naik bpjs sehat,2
61,potong iur bpjs naker sehat pensiun gede berat,2
62,bpjs sehat bpjs ketenagakerjaan bpjs tk pensiun tapera abis nih habis gaji,6
63,potong ditambahin bonus coba potong gaji,2
64,bpjs tk sehat tapera mayan gaji potong,2
65,swasta gaji potong phk perintah naik tarif listrik naik tarif bpjs blt salah sasar,2
66,potong slip gaji bpjs ketenagakerjaan bpjs jamin pensiun bpjs sehat tapera,6
67,bpjs sehat jalan penuh carut marut muncul tapera wajib,6
68,beban pikul blt listrik diskon bbm turun prakerja bpjs iur,2
69,bpjs kita tau latar belakang terap bijak,2
70,bayang hakiki turun kadang potong pajak hasil potong bpjs sehat,6
71,bpjs sehat iya bpjs tk iya tambah iur gaji pas umr ancur,6
72,bikin pp tapera ajar bpjs sehat,1
73,udh potong pph bpjs tk jamin pensiun bpjs sehat utang kantor,2
74,laksana hukum pakde bpjs sehat tetep,1
75,hak rakyat tuk sehat peduli bpjs tetep cuman putus ptun,1
76,potong bpjs ketenagakerjaan sehat potong tapera peras kaya sapi perah,1
77,konsep bang indonesia pungut iur bpjs ketenagakerjaan bpjs sehat habis gaji,2
78,potong bpjs asuransi sehat tanggung perintah,2
79,kasihan hamil suruh jam siang periksa kandung rsud kembang jakarta barat pake bpjs,2
80,bpjs sehat bpjs tk pph tapera dasar sapi perah,2
81,presiden negara vonis lawan hukum karhutla naik tarif bpjs sehat,6
82,asuransi sehat maksud bpjs asuransi gantung asuransi,6
83,harap cabut pres naik iur bpjs sehat perintah thr pahit masyarakat,2
