,words,cluster
0,masyarakat mudah layan mata fasilitas sehat tingkat,1
1,bpjs sehat ketenagakerjaan manfaat bagus,1
2,alhamdulillah bpjs sehat bener bantu warga pandemi,1
3,bpjs iur banding premi asuransi sehat poin plus,1
4,naik iur org hasil minim bpjs subsidi perintah,1
5,manfaat berkat jkn kis serta bpjs sehat lancar jalan cuci darah,1
6,terimakasih bpjs karna tanggung obat kalau bpjs tau bayar,1
7,jkn kis harisomawati salah serta bpjs sehat lancar jalan cuci darah,1
8,salah fasilitas bpjs sehat jalan cuci darah gratis bukti,1
9,harisomawari salah serta jkn kis lancar jalan cuci darah fasilitas bpjs sehat,1
10,syukur masyarakat bantu banget jkn kis serta bpjs sehat lancar jalan cuci darah,1
11,bpjs sehat bantu warga pandemi,1
12,konsul sehat mental pake bpjs manfaat,1
13,naik iur bpjs biar bpjs hidup bayang bpjs tanggung biaya rumah sakit,1
14,bpjs wajib sehat ketenagakerjaan ketenagakerjaan lumayan banget guna,1
15,alhamdulillah terima kasih lunas tunggak bpjs moga sehat,1
16,alam nunggu ortu hemodialisis bersih darah jadi panik jamin lancar berkat jkn kis,1
17,iur bpjs naik langsung sehat rakyat,1
18,antri pagi bpjs sehat samsat bulak kapal bekas pake masker jaga jarak,1
19,naik iur langsung bpjs sehat yuk,1
20,hadir program jkn kis buka akses layan sehat jangkau kualitas bantu,1
21,wabah corona bpjs layan sepenuh hati baru nih masyarakat aplikasi daring bas media sosial cika suara interaktiv jkn coba,1
22,guna vika chika manfaat salah satu dukung social distance rumah ecek tagih adu coba nih,1
23,inovasi bagus tengah wabah corona dkeluarkan bpjs sehat mana serta aplikasi bas medsos chat jkn chika voice interactive jkn vika,1
24,suka balas cepat cepat balas chat doi,1
25,layan vika chika bpjs sehat ri mudah masyarakat ecek status tagih serta jkn kis pokok support bpjs sehat nih,1
26,ecek status tagih serta jkn kis bpjs sehat care center layan vika berita adu chat asistant jkn chika simple praktis,1
27,bpjs sehat bantu masyarakat layan informasi vika chika,1
28,bangga support bpjs sehat dukung layan vika voice interactive jkn chika chat asistant jkn masyarakat layan,1
29,senang banget bpjs sehat lengkap layan dukung vika mudah akses,1
30,tau nih layan aplikasi mobile jkn aplikasi mudah masyarakat online kantor bpjs sehat,1
31,bpjs sehat layan baik pandemi covid,1
32,bpjs sehat cuci darah mudah,1
33,sadar informasi banget teliti alas iur,1
34,kelas kelas negara hadir bantu masyarakat,1
35,kali dangkal informasi riuh baca biar paham kait bijak bpjs sehat,1
36,gotong royong baik iur bpjs sehat,1
37,naik tarif iur bpjs opsi sulit langsung bpjs sehat jamin sehat masyarakat,1
38,sih bpjs tutup bikin susah rakyat sesuai tarif bpjs bantu masyarakat butuh,1
39,paham yuk dukung apa putus moga layan,1
40,perintah bantu iur serta bpjs sehat moga bpjs sehat layan baik masyarakat,1
41,bpjs sehat mending hapus baik kalau sih bpjs layan sesuai tarif,1
42,perintah usaha bantu masyarakat layan sehat baik moga tenang masyarakat,1
43,ilustrasi kartu ambar serta puas layan bpjs sehat,1
44,ngerti iur kelas aman berat,1
45,jelas iur bpjs kontak mudah paham enak banget,1
46,pasti mending baik hapus kasi butuh,1
47,mending hapus baik sih hapus rasa dampak positif,1
48,atur iur bpjs sehat tetap perintah tuju tingkat fasilitas,1
49,polemik bpjs sehat iur naik protes tepat salah paham rakyat miskin bantu tanggung,1
50,tau gin bpjs mending hapus lanjut kalo mending lanjut benah manfaat,1
51,pribadi pilih bpjs sehat baik prinsip gotong royong tolong dalam,1
52,perintah atur tuju benah depan layan terima masyarakat maksimal,1
53,mending baik masyarakat puas layan bpjs sehat rasa manfaat,1
54,cuman pilih bpjs sehat mending hapus baik sih tuju baik manfaat,1
55,lanjut bpjs penting azas manfaat terima dukung,1
56,pribadi pilih bpjs sehat baik prinsip gotong royong tolong dalam manfaat,1
57,bpjs manfaat,0
58,sumpah baca bpjs kesel tau tenang,1
59,pakai bpjs kan senang gratis,1
60,serta jkn biaya perintah berat,1
61,fasilitas serta turun kelas bpjs sehat panjang program super praktis berat,1
62,iur tapera bpjs sehat naker tuju pajak bea cukai ppn,1
63,aplikasi mobile jkn pandu layan milik bpjs sehat serta bpjs sehat care centre manfaat,1
64,malam teman teman layan bpjs sehat ini layan pandu milik bpjs sehat mudah masyarakat,1
