,words,cluster
0,bayar bpjs sanggup percaya uang gaib triliun pulih ekonomi rang pandemi covid,0
1,didik gratis sehat gratis bpjs iur nunggak listrik subsidi,0
2,iya wajib bayar layan sehat bpjs sehat usaha wajib aneh,0
3,layan sehat bpjs,7
4,beda iur bpjs sehat naek,0
5,bpjs salah kelola direksi tahan,0
6,kalimat kau bilang merdeka bukti nama merdeka rakyat bpjs sehat iur,0
7,sulit rujuk rumah sakit sesuai arah dokter faskes tingkat ajar bpjs,0
8,heran bpjs bayar tenaga sehat,0
9,jamin paksa asuransi sehat tambah paksa bpjs,6
10,miris sehat jadi bisnis rakyat palak penting kapitalis,0
11,jamsostek ketenagakerjaan bpjs sehat adalagi bp tapera dapat bayar iur mulu,0
12,jokowi beban rakyat miskin covid turun bbm naik bpjs sehat cebong sakit biaya,0
13,bpjs telat bayar apd bayar nama doang tri sehat dalem sakit,0
14,anak udh santai kis suami perlu lahir anak ngurus ribet,0
15,kurir salah usaha logistik bumn kasihan masyarakat bayar iur,0
16,tanggung bpjs sehat berat,0
17,ngurus gatau serta bpjs sehat wajib autodebit ngelampirin atm buku rekening susah,0
18,sehat jamin penuh negara rakyat bayar premi bpjs layan sehat,0
19,drama bpjs sehat ngga selesai selesai,0
20,bpjs sehat iur turun,0
21,obat pake rujuk sakit faskes 1,0
22,sumpal kapital gitu tanggung jawab negara sehat rakyat jurus palak ala bpjs naik gitu jaga satu,0
23,hasil segitu usaha beban rakyat ketulungan pandemi iur naik,0
24,cek iur bpjs sehat apk mei bayar april gilir bayar,6
25,tolak lupa delapan mantan menteri sehat siti fadilah supari bahaya bpjs vaksin,0
26,negara biaya makan napi lepas jamin sehat iur bpjs naik,0
27,desa kota puskesmas klinik fasilitas sehat mumpuni rsud,6
28,nyuruh adek kuliah sehat bayang kerja hidup sejahtera denger cerita temen profesi sehat susah,0
29,kalau balik gimana rakyat lelah biaya negara pph ppn pbb lstrik mahal,0
30,taik bpjs kelas lapang alas rs ngasih kelas ujung ujung masuk kelas titid,0
31,gausa tinggi lu bahas bbm bpjs pln bahas layan bpjs ngaco,0
32,rakyat biaya negara bayar pajak iur bpjs harga harga negara biaya rakyat,0
33,bayar iur darimana jiwasraya asabri ngutang pertamina bpjs listrik,0
34,naikin bpjs mending jokowi bubarin bpip ksp stafsus presiden amp wapres guna hemat triliun,0
35,biaya perintah makan nyari bayar pajak bayar bpjs,0
36,kasi negara ngemis rakyat melangar psbb dapetnya cuman m boro boro biaya rakyat,0
37,rakyat rakyat hidup biaya perintah naikin bpjs listrik,0
38,negara biaya rakyat bbm turun turun bpjs sehat gratis dinaikin,0
39,bbm turun dunia turun rakyat biaya perintah naik iur bpjs,0
40,wifi bpjs rumah bayar iur bpjs,0
41,waras bpjs gitu sehat tapera gitu properti didik pangan nih duit perintah,1
42,sda limpah selenggara sehat gratis alih alih gratis rakyat rasa naik iur,0
43,perintah menomorsatukan sehat lantas bijak naik bpjs sehat kena,0
44,gaji potong bpjs sehat pilih manfaat,6
45,ngomong utama sehat lapang iur bpjs naik obat mahal beli,6
46,rumah ngapain gaji potong tapera potong pph ps bpjs ketenagakerjaan bpjs sehat,0
47,bpjs sehat jalan penuh carut marut muncul tapera juntrung wajib,0
48,biar sadar nuntut layan bpjs nomor dua lupa bayar kaga sehat,0
49,potong gaji kerja tambah bpjs sehat bp jamsostek iur tabung berat,0
50,maksud gimana pajak kantor paksa pakai bpjs motong uang rasa manfaat,0
51,rakyat susah potong pph bpjs tk sehat pensiun tega sih bikin potong,1
52,sih dah potong bpjs ketenagakerjaan sehat,0
