id,words
9,jamin paksa asuransi sehat tambah paksa bpjs
24,cek iur bpjs sehat apk mei bayar april gilir bayar
27,desa kota puskesmas klinik fasilitas sehat mumpuni rsud
44,gaji potong bpjs sehat pilih manfaat
45,ngomong utama sehat lapang iur bpjs naik obat mahal beli
62,bpjs sehat bpjs ketenagakerjaan bpjs tk pensiun tapera abis nih habis gaji
66,potong slip gaji bpjs ketenagakerjaan bpjs jamin pensiun bpjs sehat tapera
67,bpjs sehat jalan penuh carut marut muncul tapera wajib
70,bayang hakiki turun kadang potong pajak hasil potong bpjs sehat
71,bpjs sehat iya bpjs tk iya tambah iur gaji pas umr ancur
81,presiden negara vonis lawan hukum karhutla naik tarif bpjs sehat
82,asuransi sehat maksud bpjs asuransi gantung asuransi
87,bayar negara pph bpjs sehat ketenagakerjaan muncul tapera
96,salah kelola direksi tahan
162,naik iur bpjs sehat pandemi
199,potong iur bpjs naker sehat pensiun gede
377,iur bpjs sehat resmi pandemi covid serba serbi mmc perintah keluar bijak luka rakyat tengah pandemi covid iur bpjs sehat resmi
415,jokowi nilai lembek psbb naik iur bpjs sehat
421,rakyat peras vs bpjs berpoya bpjs tangan sosial sehat rakyat tatakelola
428,iur bpjs sehat gugat
442,nunggak bpjs sehat ancam denda puluh juta
