id,words
0,naik bpjs sehat muncul puluh delapan persen sentimen negatif
1,rumah sakit mitra bpjs sehat padang terap antri daring
2,orang tolak bpjs krn prefer asuransi swasta sih erti orang tolak bpjs pikir rugi erti
3,salam sehat husna covid layan kantor cabang bpjs sehat operasional
4,presiden sby bpjs sehat tinta emas jalan bangsa
5,malas baca
6,urus rokok tolong bawa rugi negara deh bawa arah sehat efek macam
7,tau nomor bpjs sehat gimana dibayarin kantor sampe tau nomor
8,didu bpjs hapus indonesia gratis biaya sehat warga
9,pro tips pamer slip gaji itungin pph tunjang jabat bpjs ketenagakerjaan bpjs sehat anak
10,salam sehat status kartu aktif layan sehat
11,daftar serta bpjs sehat online jkn mobile
12,nominal sesuai bpjs sehat ketenagakerjaan
13,korban celaka bpjs sehat bpjs ketenagakerjaan baca lihat stnk bayar pajak
14,mas bayar bpjs sehat naker pegawai gaji umr kena potong bpjs
15,bpjs sehat gopek
16,asuransi wajib slip gaji beda hal bpjs sehat naker
17,mikir andai beli skincare pake bpjs sehat muka
18,kantor bpjs sehat tutup buka
19,dapat menteri uang sesuai iur bpjs sehat dasar atur presiden
20,naik iur hitung aktuaria
21,karyawan nonaktif bpjs sehat selesai
22,subsidi bpjs sehat
23,hotline semarang bpjs sehat buka loket mobile customer service dispendukcapil
24,perintah iur bpjs sehat kelas ratus delapan puluh enam ribu rupiah
25,iur bpjs sehat masyarakat tanggung perintah
26,salam sehat anto mohon maaf layan sehat jamin bpjs sehat sesuai indikasi
27,bpjs rumah sakit vs bpjs vs rakyat layan bpjs jelek disalahin rs
28,bahaya serta bpjs sehat turun kelas iur
29,tarif iur bpjs sehat serta mandiri jalan benah sistem layan sehat
30,emang rokok orang orang dewasa mba anak pajak rokok nutup iur bpjs
31,tolong info ka kait psbb sebuhungan pandemi jam operasional kantor bpjs
32,sebut iur bpjs sehat serta mandiri laku juli sesuai hitung biaya
33,naik iur bpjs perintah naik iur bpjs sehat terbit atur presiden
34,bpjs pimpin temu internasional bahas jamin sehat
35,sahabat bpjs sehat ada hackathon programmer praktisi ti indonesia
36,pimpin temu virtual internasional bpjs bahas jamin sehat fpgh indonesia
37,konsul sehat mental pake bpjs
38,bayar serta mandiri bpjs sehat auto debit
39,pemprov aceh tanggung iur bpjs sehat juta warga
40,back up asuransi basic sehat minimal bpjs kalau rezeki swasta biar jamin
41,simpul pro kontra naik iur bpjs sehat tau
42,indonesia daulat jabat ketua fpgh ministerial retreat
43,bpjs sehat proses verifikasi klaim rs covid
44,berterimakasih allah karna sehat hak bpjs
45,tabung banget laki rekening sampe nabung
46,hati lu asuransi lu sakit hati gegara cewek lu referendum
47,budget segitu bpjs dapetin fasilitas sehat doang
48,asuransi sehat swasta komersial okok bayar premi asuransi
49,salam sehat proses daftar serta bpjs sehat daring
50,indonesia public institute pamor presiden jokowi gerus gara gara naik iur bpjs sehat
